Timestamp,Medium 1,Density 1 (kg/m^3),Medium 2,Density 2 (kg/m^3),IFT (mN/m),Temperature (K),Pressure (bar),Salinity (g/L),Inverted Drop,d,D,S,InvH
2024/05/31_17:59:01,Medium 1,784.0,Medium 2,1.293,27.2587986969317,298,1,NaN,False,0.002005581060880896,0.0025063291139240506,0.8002065848969232,0.56514812261796
2024/05/31_17:59:01,Medium 1,784.0,Medium 2,1.293,21.485495615438527,298,1,NaN,False,0.0017799795592675144,0.002224719101123595,0.800091822094994,0.5653622200845771
2024/05/31_17:59:02,Medium 1,784.0,Medium 2,1.293,22.94585185843476,298,1,NaN,False,0.0018069491963902346,0.0022758620689655173,0.7939625256866183,0.5769578475860773
2024/05/31_17:59:02,Medium 1,784.0,Medium 2,1.293,16.357751885765996,298,1,NaN,False,0.0015802426852914754,0.00196039603960396,0.8060833899719143,0.5543292026898551
2024/05/31_17:59:02,Medium 1,784.0,Medium 2,1.293,24.315939011122538,298,1,NaN,False,0.0019002148106281593,0.002371428571428571,0.8012954020721155,0.5631222975373098
2024/05/31_17:59:03,Medium 1,784.0,Medium 2,1.293,21.067780595309216,298,1,NaN,False,0.001793258426966292,0.002224719101123595,0.806060606060606,0.5543706053054753
2024/05/31_17:59:03,Medium 1,784.0,Medium 2,1.293,27.520889721117783,298,1,NaN,False,0.0020002366723870777,0.0025076923076923076,0.7976403908292028,0.5699617999310127
2024/05/31_17:59:03,Medium 1,784.0,Medium 2,1.293,25.110952240696914,298,1,NaN,False,0.001857362624359429,0.0023571428571428567,0.7879720224555155,0.588603917694308
2024/05/31_17:59:08,Medium 1,784.0,Medium 2,1.293,16.357751885765996,298,1,NaN,False,0.0015802426852914754,0.00196039603960396,0.8060833899719143,0.5543292026898551
2024/05/31_17:59:34,Medium 1,784.0,Medium 2,1.293,29.430100838667464,298,1,NaN,False,0.001989873417721519,0.0025367088607594936,0.7844311377245509,0.5956378304660298
2024/05/31_17:59:34,Medium 1,784.0,Medium 2,1.293,29.430100838667464,298,1,NaN,False,0.001989873417721519,0.0025367088607594936,0.7844311377245509,0.5956378304660298
2024/05/31_17:59:34,Medium 1,784.0,Medium 2,1.293,23.188140302250176,298,1,NaN,False,0.0017662921348314605,0.002251685393258427,0.7844311377245509,0.5956378304660298
2024/05/31_17:59:35,Medium 1,784.0,Medium 2,1.293,24.75407223016571,298,1,NaN,False,0.0017933156373125523,0.002303448275862069,0.7785352317674255,0.607605224418691
2024/05/31_17:59:35,Medium 1,784.0,Medium 2,1.293,18.00403362822107,298,1,NaN,False,0.001556480990950004,0.001984158415841584,0.7844539924448624,0.5955920654188925
2024/05/31_17:59:35,Medium 1,784.0,Medium 2,1.293,25.713061926032672,298,1,NaN,False,0.0018999999999999998,0.0024,0.7916666666666666,0.5813840153939287
2024/05/31_17:59:36,Medium 1,784.0,Medium 2,1.293,23.186358672072107,298,1,NaN,False,0.0017663435964713529,0.002251685393258427,0.7844539924448624,0.5955920654188925
2024/05/31_17:59:36,Medium 1,784.0,Medium 2,1.293,29.728872285546032,298,1,NaN,False,0.0019846750140117657,0.0025384615384615385,0.7818416721864532,0.6008541081876739
2024/05/31_17:59:36,Medium 1,784.0,Medium 2,1.293,26.562078501126297,298,1,NaN,False,0.001857142857142857,0.0023857142857142853,0.7784431137724551,0.6077947834959283
2024/05/31_18:00:27,Medium 1,784.0,Medium 2,1.293,18.00403362822107,298,1,NaN,False,0.001556480990950004,0.001984158415841584,0.7844539924448624,0.5955920654188925
2024/05/31_18:01:17,Medium 1,784.0,Medium 2,1.293,14.859439607646951,298,1,NaN,False,0.0016039603960396037,0.0019366336633663364,0.8282208588957055,0.5159875853592804
2024/05/31_18:02:02,Medium 1,784.0,Medium 2,1.293,15.89894280168557,298,1,NaN,False,0.0015803766741857958,0.0019485148514851482,0.8110672972193363,0.5453716785526534
2024/05/31_18:02:22,Medium 1,784.0,Medium 2,1.293,18.00403362822107,298,1,NaN,False,0.001556480990950004,0.001984158415841584,0.7844539924448624,0.5955920654188925
2024/05/31_18:02:59,Medium 1,867.0,Medium 2,1.293,28.746282438871095,298,1,NaN,True,0.0019116788314384916,0.0024139534883720927,0.7919286103261575,0.5808766991680832
